0,"['EC association agreement', 'Latvia', 'agro-industry', 'tariff quota', 'CCT duties']"
1,"['ILO', 'ECSC', 'mixed agreement', 'EC agreement']"
2,"['Switzerland', 'ECSC', 'EC agreement', 'European cooperation']"
3,"['nuclear policy', 'nuclear non-proliferation', 'United States', 'EAEC', 'EC agreement']"
4,"['organisation of work', 'humanisation of work', 'European social policy', 'job preservation', 'technical cooperation']"
5,"['Canada', 'nuclear energy', 'EC agreement', 'cooperation agreement', 'nuclear policy']"
6,"['Canada', 'nuclear energy', 'nuclear policy', 'EC agreement', 'cooperation agreement']"
7,"['nuclear safety', 'ILO', 'nuclear energy', 'technical cooperation']"
8,"['EAEC', 'FAO', 'nuclear energy', 'nutrition', 'farming sector']"
13,"['environmental protection', 'pollution control measures', 'environmental cooperation', 'Rhine Valley', 'EC agreement']"
14,"['Turkey', 'association agreement', 'labour force']"
15,"['association agreement', 'Turkey']"
16,"['European cooperation', 'weights and measures', 'technical cooperation', 'scientific cooperation']"
17,"['Canada', 'GATT', 'international agreement', 'customs duties', 'tariff preference', 'olive']"
18,"['EC agreement', 'Switzerland', 'GATT', 'customs duties', 'tariff preference']"
23,"['olive oil', 'GATT', 'international agreement', 'Uruguay', 'customs duties', 'tariff preference']"
24,"['United States', 'GATT', 'international agreement', 'olive', 'tariff preference', 'customs duties']"
25,"['GATT', 'United States', 'United Kingdom', 'tobacco', 'petroleum product', 'international agreement']"
26,"['GATT', 'United States', 'international agreement', 'common customs tariff', 'tariff preference']"
27,"['international agreement', 'GATT', 'Canada', 'customs duties', 'tariff preference']"
28,"['international agreement', 'GATT', 'South Africa', 'customs duties', 'tariff preference']"
29,"['international agreement', 'GATT', 'Chile', 'customs duties', 'tariff preference']"
30,"['international agreement', 'GATT', 'Australia', 'customs duties', 'tariff preference']"
31,"['international agreement', 'India', 'market access', 'EC joint committee']"
32,"['international agreement', 'GATT', 'Canada', 'customs duties', 'tariff preference']"
33,"['international agreement', 'GATT', 'Canada', 'customs duties', 'tariff preference']"
34,"['GATT', 'Israel', 'tariff preference', 'customs duties', 'international agreement']"
35,"['GATT', 'tariff preference', 'protocol to an agreement', 'Egypt', 'customs duties']"
36,"['GATT', 'international agreement', 'tariff preference', 'customs duties', 'Spain', 'synthetic rubber']"
37,"['Spain', 'GATT', 'international agreement', 'customs duties', 'tariff preference', 'cheese']"
38,"['EC agreement', 'Switzerland', 'clock and watch industry', 'technical regulations']"
